,taxa,pm,pvalue,qvalue
0,taxa561,0.29680022326482225,1.8050678643466433e-05,4.287036177823278e-05
1,taxa207244,0.3084497150049179,0.008116667468797911,0.012851390158930026
2,taxa61170,0.26558916826402945,0.0002962019147390027,0.0005627836380041051
3,taxa29465,0.21922456321550787,0.05516577136906986,0.06987664373415516
0,taxa2172,0.4322885616599772,5.1535109513167754e-11,2.4479177018754683e-10
1,taxa447020,0.3753775484463462,3.3190585286835272e-06,1.0510352007497836e-05
2,taxa838,0.3013499898397104,3.195829045121723e-05,6.746750206368083e-05
0,taxa244127,0.6456816087639363,2.1620573137486195e-23,4.1079088961223773e-22
1,taxa836,0.5476616274743422,1.2454481890245006e-12,7.887838530488505e-12
2,taxa100883,0.46660621756299636,5.346248046156354e-06,1.4511244696710106e-05
0,taxa577310,0.30643108952538967,0.006813323495836521,0.011768467856444899
1,taxa1357,0.286186762396056,0.04970459657354709,0.06745623820695677
2,taxa1378,0.6060071430189309,3.3306690738754696e-16,3.164135620181696e-15
0,taxa724,0.2950404513779923,0.010268387831947945,0.015007643754385458
1,taxa117563,0.28947471743185527,0.3559710448844279,0.37574721404467387
2,taxa644652,0.2752611199472389,0.22614882694404337,0.2527545712904014
0,taxa1578,0.28718796203173436,0.15767680194860423,0.18724120231396754
1,taxa872,0.28276980943457375,0.4708073384001854,0.4708073384001854
2,taxa40544,0.5636988951796071,6.160957632950215e-09,2.3411639005210817e-08
